File_Path,Link,Chunk
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\2023_OAA_RAW.html,https://www.cics.umass.edu/content/2023-oaa-award-recipient-biographies,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\AboutUs_RAW.html,https://www.cics.umass.edu/about/about-umass-computer-science,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Academic_Career_Advising_Staff_RAW.html,https://www.cics.umass.edu/people/academic-career-advising,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Accelerated_MS_RAW.html,https://www.cics.umass.edu/ugrad-education/accelerated-masters-computer-science,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Additional_Resources_RAW.html,https://www.cics.umass.edu/diversity/additional-resources,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Adjunct_faculty_RAW.html,https://www.cics.umass.edu/people/adjunct,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Advisory_Board_RAW.html,https://www.cics.umass.edu/people/advisory,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\All_faculty_staff_RAW.html,https://www.cics.umass.edu/people/all-faculty-staff,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Alumni_RAW.html,https://www.cics.umass.edu/people/alumni,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\ARR Fixes _ RAW.html,https://www.cics.umass.edu/content/arr-fixes,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Awards_Programs_RAW.html,https://www.cics.umass.edu/awards-programs,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Bachelors_RAW.html,https://www.cics.umass.edu/degree-program/bachelors,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\BACS_RAW.html,https://www.cics.umass.edu/ugrad-education/ba-degree-requirements,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\BACS_Requirements_RAW.html,https://www.cics.umass.edu/revised-ba-requirements-effective-september-2023,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Bay_State_RAW.html,https://www.cics.umass.edu/content/bay-state-scholarship-program,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Becoming_a_CS_Major_Ugrad_RAW.html,https://www.cics.umass.edu/admissions/ugrad-admission,
C:\Users\vivie\499-Thesis\CICS_Web_Raw_HTML\Brand_Style_Guide_RAW.html,https://www.cics.umass.edu/brand,
